Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
RIVERFRONT RESIDENCES,"690,000",462.85,"1,491",16 Mar 2023,51 HOUGANG AVENUE 7 #04-53,Sub Sale,Strata,43,"16,047",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533818,19,53,North East Region,Hougang
THE LUXURIE,"1,080,000",775.01,"1,394",17 Mar 2023,15 COMPASSVALE ROAD #09-09,Resale,Strata,72,"15,000",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544751,19,54,North East Region,Sengkang
A TREASURE TROVE,"1,480,000","1,044.11","1,417",17 Mar 2023,62 PUNGGOL WALK #09-25,Resale,Strata,97,"15,258",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828781,19,82,North East Region,Punggol
KOVAN GRANDEUR,"578,000",365.98,"1,579",17 Mar 2023,118 TAMPINES ROAD #01-12,Resale,Strata,34,"17,000",-,Apartment,1,99 yrs from 10/08/2010,2011,HDB,535193,19,53,North East Region,Hougang
CASA ROSA,"1,980,000","2,174.33",911,17 Mar 2023,37 LORONG ONG LYE #05-14,Resale,Strata,202,"9,802",-,Condominium,1,99 yrs from 02/02/1998,2001,Private,536445,19,53,North East Region,Serangoon
SUNGLADE,"1,650,000","1,162.51","1,419",17 Mar 2023,1 SERANGOON AVENUE 2 #09-01,Resale,Strata,108,"15,278",-,Condominium,1,99 yrs from 09/10/2000,2003,Private,556130,19,55,North East Region,Serangoon
KINGSFORD WATERBAY,"700,000",484.38,"1,445",17 Mar 2023,74 UPPER SERANGOON VIEW #14-46,Resale,Strata,45,"15,556",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533881,19,53,North East Region,Hougang
LA FIESTA,"1,530,000","1,001.05","1,528",17 Mar 2023,54 SENGKANG SQUARE #14-09,Resale,Strata,93,"16,452",-,Condominium,1,99 yrs from 03/09/2012,2016,Private,544832,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"745,000",462.85,"1,610",17 Mar 2023,41 HOUGANG AVENUE 7 #06-11,Sub Sale,Strata,43,"17,326",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533813,19,53,North East Region,Hougang
THE LILIUM,"2,375,800","1,227.1","1,936",19 Mar 2023,31 HOW SUN ROAD #02-06,New Sale,Strata,114,"20,840",-,Condominium,1,Freehold,2021,HDB,538500,19,53,North East Region,Serangoon
RIVERSOUND RESIDENCE,"1,185,000",904.18,"1,311",20 Mar 2023,3 SENGKANG EAST AVENUE #12-11,Resale,Strata,84,"14,107",-,Condominium,1,99 yrs from 26/08/2011,2015,HDB,544813,19,54,North East Region,Sengkang
JEWEL @ BUANGKOK,"1,150,000",731.95,"1,571",20 Mar 2023,85 COMPASSVALE BOW #14-18,Resale,Strata,68,"16,912",-,Condominium,1,99 yrs from 12/09/2012,2016,HDB,544685,19,54,North East Region,Sengkang
HIGHLAND CONDOMINIUM,"1,850,000","1,517.72","1,219",20 Mar 2023,103B HIGHLAND ROAD,Resale,Strata,141,"13,121",-,Condominium,1,Freehold,1993,Private,549177,19,54,North East Region,Hougang
KOVAN MELODY,"2,180,000","1,689.95","1,290",20 Mar 2023,25 KOVAN ROAD #02-24,Resale,Strata,157,"13,885",-,Condominium,1,99 yrs from 20/01/2004,2006,Private,545024,19,54,North East Region,Hougang
A TREASURE TROVE,"1,120,000",775.01,"1,445",20 Mar 2023,66 PUNGGOL WALK #10-33,Resale,Strata,72,"15,556",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828783,19,82,North East Region,Punggol
THE MINTON,"1,590,000","1,108.69","1,434",21 Mar 2023,12A HOUGANG STREET 11 #10-58,Resale,Strata,103,"15,437",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534074,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,220,000",882.65,"1,382",21 Mar 2023,66 UPPER SERANGOON VIEW #14-12,Resale,Strata,82,"14,878",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533885,19,53,North East Region,Hougang
CHILTERN PARK,"1,700,000","1,302.44","1,305",21 Mar 2023,133 SERANGOON AVENUE 3 #09-16,Resale,Strata,121,"14,050",-,Condominium,1,99 yrs from 01/03/1991,1995,HDB,556113,19,55,North East Region,Serangoon
RIVER ISLES,"1,680,000","1,453.14","1,156",21 Mar 2023,68 EDGEDALE PLAINS #01-36,Resale,Strata,135,"12,444",-,Condominium,1,99 yrs from 06/02/2012,2015,Private,828733,19,82,North East Region,Punggol
BARTLEY RESIDENCES,"1,380,000",871.88,"1,583",22 Mar 2023,3 LORONG HOW SUN #12-15,Resale,Strata,81,"17,037",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536560,19,53,North East Region,Serangoon
STARS OF KOVAN,"1,360,000",742.72,"1,831",22 Mar 2023,984 UPPER SERANGOON ROAD #08-16,Resale,Strata,69,"19,710",-,Apartment,1,99 yrs from 25/02/2015,2019,HDB,533854,19,53,North East Region,Hougang
BARTLEY RESIDENCES,"1,750,000","1,097.93","1,594",22 Mar 2023,5 LORONG HOW SUN #08-26,Resale,Strata,102,"17,157",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536562,19,53,North East Region,Serangoon
FLO RESIDENCE,"950,000",764.24,"1,243",22 Mar 2023,7 PUNGGOL FIELD WALK #16-14,Resale,Strata,71,"13,380",-,Condominium,1,99 yrs from 05/12/2011,2016,Private,828742,19,82,North East Region,Punggol
BARTLEY RESIDENCES,"1,245,000",796.54,"1,563",22 Mar 2023,7A LORONG HOW SUN #06-47,Resale,Strata,74,"16,824",-,Apartment,1,99 yrs from 29/06/2011,2015,HDB,536565,19,53,North East Region,Serangoon
BOATHOUSE RESIDENCES,"805,000",624.31,"1,289",22 Mar 2023,33 UPPER SERANGOON VIEW #12-30,Resale,Strata,58,"13,879",-,Condominium,1,99 yrs from 09/02/2011,2015,HDB,534042,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,780,000","1,001.05","1,778",23 Mar 2023,91 HOUGANG AVENUE 2 #09-51,Sub Sale,Strata,93,"19,140",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,538864,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"788,000",516.67,"1,525",23 Mar 2023,45 HOUGANG AVENUE 7 #05-26,Sub Sale,Strata,48,"16,417",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533815,19,53,North East Region,Hougang
BARTLEY RESIDENCES,"805,000",462.85,"1,739",23 Mar 2023,5A LORONG HOW SUN #10-34,Resale,Strata,43,"18,721",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536563,19,53,North East Region,Serangoon
RIVERSOUND RESIDENCE,"1,550,000","1,259.39","1,231",23 Mar 2023,9A SENGKANG EAST AVENUE #06-35,Resale,Strata,117,"13,248",-,Condominium,1,99 yrs from 26/08/2011,2015,HDB,544743,19,54,North East Region,Sengkang
KOVAN GRANDEUR,"570,000",387.5,"1,471",23 Mar 2023,118 TAMPINES ROAD #04-16,Resale,Strata,36,"15,833",-,Apartment,1,99 yrs from 10/08/2010,2011,HDB,535193,19,53,North East Region,Hougang
SUITES @ PAYA LEBAR,"648,000",409.03,"1,584",23 Mar 2023,420 UPPER PAYA LEBAR ROAD #02-16,Resale,Strata,38,"17,053",-,Apartment,1,Freehold,2013,Private,534049,19,53,North East Region,Hougang
THE OLD HOUSE,"1,660,000","1,130.22","1,469",23 Mar 2023,1011 UPPER SERANGOON ROAD #03-03,Resale,Strata,105,"15,810",-,Apartment,1,Freehold,2003,Private,534749,19,53,North East Region,Hougang
THE WATERLINE,"1,100,000",882.65,"1,246",23 Mar 2023,161 POH HUAT ROAD WEST #03-03,Resale,Strata,82,"13,415",-,Condominium,1,Freehold,2013,Private,546692,19,54,North East Region,Hougang
RIVERFRONT RESIDENCES,"983,000",613.55,"1,602",23 Mar 2023,43 HOUGANG AVENUE 7 #15-21,Sub Sale,Strata,57,"17,246",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533814,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,100,000",721.19,"1,525",24 Mar 2023,43 HOUGANG AVENUE 7 #08-17,Sub Sale,Strata,67,"16,418",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533814,19,53,North East Region,Hougang
THE MINTON,"1,850,000","1,216.33","1,521",24 Mar 2023,6A HOUGANG STREET 11 #06-14,Resale,Strata,113,"16,372",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,538756,19,53,North East Region,Hougang
PARC CENTROS,"1,728,000","1,506.96","1,147",24 Mar 2023,80 PUNGGOL CENTRAL #01-02,Resale,Strata,140,"12,343",-,Condominium,1,99 yrs from 19/03/2012,2016,HDB,828762,19,82,North East Region,Punggol
THE SCALA,"1,403,888",828.83,"1,694",24 Mar 2023,134 SERANGOON AVENUE 3 #04-18,Resale,Strata,77,"18,232",-,Apartment,1,99 yrs from 06/01/2010,2013,Private,554477,19,55,North East Region,Serangoon
PARC CENTROS,"1,425,000",990.29,"1,439",24 Mar 2023,90 PUNGGOL CENTRAL #09-21,Resale,Strata,92,"15,489",-,Condominium,1,99 yrs from 19/03/2012,2016,Private,828722,19,82,North East Region,Punggol
A TREASURE TROVE,"1,065,000",775.01,"1,374",24 Mar 2023,72 PUNGGOL WALK #04-45,Resale,Strata,72,"14,792",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828786,19,82,North East Region,Punggol
BOATHOUSE RESIDENCES,"790,000",624.31,"1,265",24 Mar 2023,33 UPPER SERANGOON VIEW #09-30,Resale,Strata,58,"13,621",-,Condominium,1,99 yrs from 09/02/2011,2015,Private,534042,19,53,North East Region,Hougang
KOVAN REGENCY,"818,000",505.91,"1,617",24 Mar 2023,2 KOVAN RISE #10-07,Resale,Strata,47,"17,404",-,Condominium,1,99 yrs from 24/04/2012,2015,HDB,544734,19,54,North East Region,Hougang
RIVERSAILS,"2,538,000","2,400.37","1,057",27 Mar 2023,24 UPPER SERANGOON CRESCENT #18-58,Resale,Strata,223,"11,381",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534024,19,53,North East Region,Hougang
SPACE @ KOVAN,"672,000",387.5,"1,734",27 Mar 2023,11 YIO CHU KANG ROAD #05-08,Resale,Strata,36,"18,667",-,Apartment,1,Freehold,2015,Private,545679,19,54,North East Region,Serangoon
AFFINITY AT SERANGOON,"1,850,000","1,076.4","1,719",27 Mar 2023,24 SERANGOON NORTH AVENUE 1 #12-32,Sub Sale,Strata,100,"18,500",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554339,19,55,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,040,000",635.08,"1,638",27 Mar 2023,81 HOUGANG AVENUE 2 #03-09,Sub Sale,Strata,59,"17,627",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538859,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"745,000",462.85,"1,610",27 Mar 2023,41 HOUGANG AVENUE 7 #09-10,Sub Sale,Strata,43,"17,326",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533813,19,53,North East Region,Hougang
SENGKANG GRAND RESIDENCES,"1,480,000",731.95,"2,022",27 Mar 2023,78 COMPASSVALE BOW #05-25,Sub Sale,Strata,68,"21,765",-,Apartment,1,99 yrs from 13/11/2018,Uncompleted,Private,544569,19,54,North East Region,Sengkang
LA FIESTA,"2,000,000","1,646.89","1,214",28 Mar 2023,54 SENGKANG SQUARE #01-10,Resale,Strata,153,"13,072",-,Condominium,1,99 yrs from 03/09/2012,2016,Private,544832,19,54,North East Region,Sengkang
THE SPRINGBLOOM,"1,900,000","1,302.44","1,459",28 Mar 2023,143 SERANGOON AVENUE 3 #13-07,Resale,Strata,121,"15,702",-,Condominium,1,99 yrs from 01/03/1995,1999,Private,556121,19,55,North East Region,Serangoon
PALM GROVE CONDOMINIUM,"2,000,000","1,399.32","1,429",28 Mar 2023,21 PALM GROVE AVENUE #03-23,Resale,Strata,130,"15,385",-,Condominium,1,999 yrs from 02/12/1878,2002,HDB,547320,19,54,North East Region,Hougang
WATERTOWN,"935,000",559.73,"1,670",29 Mar 2023,69 PUNGGOL CENTRAL #11-17,Resale,Strata,52,"17,981",-,Apartment,1,99 yrs from 18/05/2011,2017,HDB,828754,19,82,North East Region,Punggol
KOVAN GRANDEUR,"930,000",742.72,"1,252",29 Mar 2023,118 TAMPINES ROAD #04-10,Resale,Strata,69,"13,478",-,Apartment,1,99 yrs from 10/08/2010,2011,HDB,535193,19,53,North East Region,Hougang
BLISS@KOVAN,"1,860,000","1,227.1","1,516",29 Mar 2023,6 SIMON LANE #01-18,Resale,Strata,114,"16,316",-,Condominium,1,Freehold,2015,Private,546055,19,54,North East Region,Hougang
BOATHOUSE RESIDENCES,"950,000",731.95,"1,298",29 Mar 2023,23 UPPER SERANGOON VIEW #07-03,Resale,Strata,68,"13,971",-,Condominium,1,99 yrs from 09/02/2011,2015,HDB,534047,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"820,000",516.67,"1,587",29 Mar 2023,51 HOUGANG AVENUE 7 #14-55,Sub Sale,Strata,48,"17,083",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533818,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"940,000",538.2,"1,747",30 Mar 2023,28 SERANGOON NORTH AVENUE 1 #08-62,Sub Sale,Strata,50,"18,800",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554341,19,55,North East Region,Serangoon
8 EDEN GROVE,"1,380,000","1,108.69","1,245",30 Mar 2023,8 EDEN GROVE #03-11,Resale,Strata,103,"13,398",-,Apartment,1,Freehold,1999,Private,539060,19,53,North East Region,Serangoon
THE MINTON,"1,660,000","1,108.69","1,497",30 Mar 2023,12A HOUGANG STREET 11 #16-58,Resale,Strata,103,"16,117",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534074,19,53,North East Region,Hougang
WATERTOWN,"2,520,000","1,356.26","1,858",30 Mar 2023,79 PUNGGOL CENTRAL #07-86,Resale,Strata,126,"20,000",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828759,19,82,North East Region,Punggol
JEWEL @ BUANGKOK,"1,860,000","1,194.8","1,557",30 Mar 2023,89 COMPASSVALE BOW #07-32,Resale,Strata,111,"16,757",-,Condominium,1,99 yrs from 12/09/2012,2016,Private,544687,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"1,158,000",721.19,"1,606",30 Mar 2023,47 HOUGANG AVENUE 7 #05-39,Sub Sale,Strata,67,"17,284",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533816,19,53,North East Region,Hougang
THE GAZANIA,"1,548,000",678.13,"2,283",31 Mar 2023,15 HOW SUN DRIVE #04-31,New Sale,Strata,63,"24,571",-,Condominium,1,Freehold,2022,HDB,538545,19,53,North East Region,Serangoon
THE GAZANIA,"1,048,000",462.85,"2,264",31 Mar 2023,17 HOW SUN DRIVE #02-38,New Sale,Strata,43,"24,372",-,Condominium,1,Freehold,2022,HDB,538550,19,53,North East Region,Serangoon
THE LILIUM,"2,278,000","1,227.1","1,856",31 Mar 2023,31 HOW SUN ROAD #04-06,New Sale,Strata,114,"19,982",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
THE LILIUM,"2,238,000","1,227.1","1,824",31 Mar 2023,33 HOW SUN ROAD #03-11,New Sale,Strata,114,"19,632",-,Condominium,1,Freehold,2021,Private,538501,19,53,North East Region,Serangoon
THE LILIUM,"2,228,800","1,227.1","1,816",31 Mar 2023,33 HOW SUN ROAD #02-11,New Sale,Strata,114,"19,551",-,Condominium,1,Freehold,2021,N.A,538501,19,53,North East Region,Serangoon
THE LILIUM,"2,488,000","1,356.26","1,834",31 Mar 2023,33 HOW SUN ROAD #02-14,New Sale,Strata,126,"19,746",-,Condominium,1,Freehold,2021,HDB,538501,19,53,North East Region,Serangoon
WATERTOWN,"1,040,000",678.13,"1,534",31 Mar 2023,71 PUNGGOL CENTRAL #03-37,Resale,Strata,63,"16,508",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828755,19,82,North East Region,Punggol
TRILIVE,"1,128,888",624.31,"1,808",31 Mar 2023,115 TAMPINES ROAD #17-13,Resale,Strata,58,"19,464",-,Condominium,1,Freehold,2018,HDB,533901,19,53,North East Region,Hougang
THE LUXURIE,"1,040,000",775.01,"1,342",31 Mar 2023,15 COMPASSVALE ROAD #11-09,Resale,Strata,72,"14,444",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544751,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"930,000",613.55,"1,516",31 Mar 2023,51 HOUGANG AVENUE 7 #02-58,Sub Sale,Strata,57,"16,316",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533818,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,160,000",721.19,"1,608",31 Mar 2023,53 HOUGANG AVENUE 7 #07-65,Sub Sale,Strata,67,"17,313",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533819,19,53,North East Region,Hougang
BOATHOUSE RESIDENCES,"916,000",710.42,"1,289",31 Mar 2023,33 UPPER SERANGOON VIEW #10-26,Resale,Strata,66,"13,879",-,Condominium,1,99 yrs from 09/02/2011,2015,Private,534042,19,53,North East Region,Hougang
STARS OF KOVAN,"851,321",505.91,"1,683",31 Mar 2023,986 UPPER SERANGOON ROAD #13-21,Resale,Strata,47,"18,113",-,Apartment,1,99 yrs from 25/02/2015,2019,Private,534732,19,53,North East Region,Hougang
EVERGREEN PARK,"1,080,000","1,022.58","1,056",31 Mar 2023,37 HOUGANG AVENUE 7 #13-07,Resale,Strata,95,"11,368",-,Apartment,1,99 yrs from 01/10/1995,1999,Private,538803,19,53,North East Region,Hougang
THE SCALA,"825,000",473.62,"1,742",31 Mar 2023,138 SERANGOON AVENUE 3 #11-26,Resale,Strata,44,"18,750",-,Apartment,1,99 yrs from 06/01/2010,2013,HDB,554475,19,55,North East Region,Serangoon
THE GAZANIA,"1,528,000",678.13,"2,253",01 Apr 2023,15 HOW SUN DRIVE #02-31,New Sale,Strata,63,"24,254",-,Condominium,1,Freehold,2022,N.A,538545,19,53,North East Region,Serangoon
THE GAZANIA,"1,938,000",958,"2,023",01 Apr 2023,7 HOW SUN DRIVE #01-12,New Sale,Strata,89,"21,775",-,Condominium,1,Freehold,2022,Private,538530,19,53,North East Region,Serangoon
BOTANIQUE AT BARTLEY,"1,766,000","1,033.34","1,709",03 Apr 2023,225 UPPER PAYA LEBAR ROAD #01-11,Resale,Strata,96,"18,396",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533873,19,53,North East Region,Serangoon
REGENTVILLE,"1,100,000","1,151.75",955,03 Apr 2023,10 HOUGANG STREET 92 #13-01,Resale,Strata,107,"10,280",-,Apartment,1,99 yrs from 24/04/1996,1999,Private,538687,19,53,North East Region,Hougang
KENSINGTON PARK CONDOMINIUM,"2,700,000","1,668.42","1,618",03 Apr 2023,12 KENSINGTON PARK DRIVE #09-04,Resale,Strata,155,"17,419",-,Condominium,1,999 yrs from 01/04/1878,1990,Private,557325,19,55,North East Region,Serangoon
KOVAN REGENCY,"1,800,000","1,054.87","1,706",03 Apr 2023,4 KOVAN RISE #12-08,Resale,Strata,98,"18,367",-,Condominium,1,99 yrs from 24/04/2012,2015,Private,544735,19,54,North East Region,Hougang
THE GAZANIA,"2,968,000","1,851.41","1,603",03 Apr 2023,11 HOW SUN DRIVE #01-23,New Sale,Strata,172,"17,256",-,Condominium,1,Freehold,2022,N.A,538536,19,53,North East Region,Serangoon
THE GAZANIA,"2,918,000","1,743.77","1,673",03 Apr 2023,9 HOW SUN DRIVE #01-14,New Sale,Strata,162,"18,012",-,Condominium,1,Freehold,2022,N.A,538533,19,53,North East Region,Serangoon
THE LILIUM,"3,368,000","1,969.81","1,710",03 Apr 2023,31 HOW SUN ROAD #05-03,New Sale,Strata,183,"18,404",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
RIVERFRONT RESIDENCES,"1,130,000",721.19,"1,567",03 Apr 2023,43 HOUGANG AVENUE 7 #05-17,Sub Sale,Strata,67,"16,866",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533814,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,200,000",882.65,"1,360",03 Apr 2023,76 UPPER SERANGOON VIEW #06-59,Resale,Strata,82,"14,634",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533880,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"898,000",624.31,"1,438",03 Apr 2023,64 UPPER SERANGOON VIEW #11-04,Resale,Strata,58,"15,483",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533886,19,53,North East Region,Hougang
RIVERSOUND RESIDENCE,"670,000",473.62,"1,415",03 Apr 2023,7 SENGKANG EAST AVENUE #05-19,Resale,Strata,44,"15,227",-,Condominium,1,99 yrs from 26/08/2011,2015,HDB,544741,19,54,North East Region,Sengkang
A TREASURE TROVE,"1,120,000",775.01,"1,445",04 Apr 2023,64 PUNGGOL WALK #08-29,Resale,Strata,72,"15,556",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828782,19,82,North East Region,Punggol
PARC VERA,"1,808,000","1,410.08","1,282",04 Apr 2023,10 HOUGANG STREET 32 #12-28,Resale,Strata,131,"13,802",-,Condominium,1,99 yrs from 20/12/2010,2014,HDB,534037,19,53,North East Region,Hougang
KOVAN REGENCY,"1,839,000","1,130.22","1,627",04 Apr 2023,40 KOVAN RISE #04-23,Resale,Strata,105,"17,514",-,Condominium,1,99 yrs from 24/04/2012,2015,HDB,544728,19,54,North East Region,Hougang
THE LILIUM,"2,408,000","1,291.68","1,864",04 Apr 2023,31 HOW SUN ROAD #04-02,New Sale,Strata,120,"20,067",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
THE MINTON,"898,000",613.55,"1,464",04 Apr 2023,10C HOUGANG STREET 11 #13-43,Resale,Strata,57,"15,754",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534077,19,53,North East Region,Hougang
WATERTOWN,"860,000",527.44,"1,631",04 Apr 2023,69 PUNGGOL CENTRAL #07-24,Resale,Strata,49,"17,551",-,Apartment,1,99 yrs from 18/05/2011,2017,HDB,828754,19,82,North East Region,Punggol
WATERTOWN,"890,000",581.26,"1,531",04 Apr 2023,69 PUNGGOL CENTRAL #13-21,Resale,Strata,54,"16,481",-,Apartment,1,99 yrs from 18/05/2011,2017,HDB,828754,19,82,North East Region,Punggol
CHILTERN PARK,"1,300,000","1,097.93","1,184",05 Apr 2023,135 SERANGOON AVENUE 3 #01-13,Resale,Strata,102,"12,745",-,Condominium,1,99 yrs from 01/03/1991,1995,Private,556114,19,55,North East Region,Serangoon
AFFINITY AT SERANGOON,"1,330,000",731.95,"1,817",05 Apr 2023,20 SERANGOON NORTH AVENUE 1 #11-14,Sub Sale,Strata,68,"19,559",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554337,19,55,North East Region,Serangoon
RIVERSAILS,"1,368,000","1,033.34","1,324",05 Apr 2023,18 UPPER SERANGOON CRESCENT #05-46,Resale,Strata,96,"14,250",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534027,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"2,350,000","1,410.08","1,667",05 Apr 2023,45 HOUGANG AVENUE 7 #11-28,Sub Sale,Strata,131,"17,939",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533815,19,53,North East Region,Hougang
THE GAZANIA,"3,168,000","1,829.88","1,731",06 Apr 2023,19 HOW SUN DRIVE #01-46,New Sale,Strata,170,"18,635",-,Condominium,1,Freehold,2022,HDB,538555,19,53,North East Region,Serangoon
RIVERFRONT RESIDENCES,"930,000",602.78,"1,543",06 Apr 2023,45 HOUGANG AVENUE 7 #02-27,Sub Sale,Strata,56,"16,607",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533815,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"705,000",462.85,"1,523",06 Apr 2023,47 HOUGANG AVENUE 7 #02-36,Sub Sale,Strata,43,"16,395",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533816,19,53,North East Region,Hougang
MIDTOWN RESIDENCES,"1,090,000",721.19,"1,511",06 Apr 2023,1189 UPPER SERANGOON ROAD #08-08,Resale,Strata,67,"16,269",-,Apartment,1,99 yrs from 24/01/2013,2016,HDB,534785,19,53,North East Region,Hougang
PARC CENTROS,"715,000",473.62,"1,510",06 Apr 2023,94 PUNGGOL CENTRAL #02-36,Resale,Strata,44,"16,250",-,Condominium,1,99 yrs from 19/03/2012,2016,HDB,828724,19,82,North East Region,Punggol
KOVAN RESIDENCES,"2,000,000","1,280.92","1,561",06 Apr 2023,1 KOVAN ROAD #15-01,Resale,Strata,119,"16,807",-,Condominium,1,99 yrs from 31/12/2007,2011,HDB,544915,19,54,North East Region,Hougang
THE MINTON,"2,150,000","1,657.66","1,297",06 Apr 2023,10B HOUGANG STREET 11 #06-39,Resale,Strata,154,"13,961",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534078,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"830,000",473.62,"1,752",06 Apr 2023,20 SERANGOON NORTH AVENUE 1 #06-19,Sub Sale,Strata,44,"18,864",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554337,19,55,North East Region,Serangoon
RIVERFRONT RESIDENCES,"1,530,000",914.94,"1,672",06 Apr 2023,53 HOUGANG AVENUE 7 #16-70,Sub Sale,Strata,85,"18,000",-,Apartment,1,99 yrs from 31/05/2018,2023,HDB,533819,19,53,North East Region,Hougang
THE GAZANIA,"3,108,000","1,819.12","1,709",08 Apr 2023,19 HOW SUN DRIVE #01-49,New Sale,Strata,169,"18,391",-,Condominium,1,Freehold,2022,Private,538555,19,53,North East Region,Serangoon
BARTLEY VUE,"2,522,000","1,356.26","1,860",09 Apr 2023,6 JALAN BUNGA RAMPAI #04-02,New Sale,Strata,126,"20,016",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,Private,538310,19,53,Central Region,Toa Payoh
BOTANIQUE AT BARTLEY,"865,000",495.14,"1,747",10 Apr 2023,233 UPPER PAYA LEBAR ROAD #02-31,Resale,Strata,46,"18,804",-,Condominium,1,99 yrs from 14/04/2014,2019,Private,533869,19,53,North East Region,Serangoon
BOATHOUSE RESIDENCES,"760,000",624.31,"1,217",10 Apr 2023,23 UPPER SERANGOON VIEW #11-01,Resale,Strata,58,"13,103",-,Condominium,1,99 yrs from 09/02/2011,2015,HDB,534047,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,155,000",893.41,"1,293",10 Apr 2023,74 UPPER SERANGOON VIEW #03-52,Resale,Strata,83,"13,916",-,Apartment,1,99 yrs from 03/03/2014,2018,Private,533881,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,760,000","1,194.8","1,473",10 Apr 2023,80 UPPER SERANGOON VIEW #15-73,Resale,Strata,111,"15,856",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533878,19,53,North East Region,Hougang
PARC CENTROS,"1,100,000",764.24,"1,439",10 Apr 2023,94 PUNGGOL CENTRAL #06-38,Resale,Strata,71,"15,493",-,Condominium,1,99 yrs from 19/03/2012,2016,Private,828724,19,82,North East Region,Punggol
