MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2000 to Oct 2025


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
,,10,0.2675,0.98
,,11,0.3735,1.00
,,12,0.4849,1.01
,,13,0.7076,1.48
,,17,0.4296,1.19
,,18,0.3628,1.17
,,19,0.2470,1.08
,,20,0.3620,1.09
,,21,0.4809,1.11
,,24,0.4397,1.16
,,25,0.4835,1.19
,,26,0.5996,1.19
,,27,0.3922,1.24
,,28,0.4526,1.26
,May,02,0.4460,1.16
,,03,0.5120,1.16
,,04,0.3957,1.11
,,05,0.4690,1.18
,,08,0.4946,1.24
,,09,0.4974,1.26
,,11,0.5050,1.25
,,12,0.5746,1.27
,,15,0.5159,1.32
,,16,0.7252,1.42
,,17,0.5820,1.32
,,18,0.5199,1.32
,,19,0.5588,1.29
,,22,0.5613,1.21
,,23,0.4187,1.18
,,24,0.4127,1.08
,,25,0.3323,1.08
,,26,0.4495,1.16
,,29,0.3589,1.00
,,30,0.4404,1.13
,,31,0.4503,1.13
,Jun,01,0.3647,1.13
,,02,0.5698,1.21
,,05,0.6237,1.24
,,06,0.7110,1.32
,,07,0.8227,1.49
,,08,0.4644,1.31
,,09,0.2618,1.14
,,12,0.2335,1.01
,,13,0.0917,0.96
,,14,0.1126,0.79
,,15,0.1495,0.95
,,16,0.1433,0.87
,,19,0.1576,0.93
,,20,0.1526,1.02
,,21,0.2760,1.05
,,22,0.4513,1.10
,,23,1.1334,1.90
,,27,0.7300,1.48
,,28,0.9212,1.46
,,29,1.1955,1.93
,,30,0.8239,2.08
,Jul,03,0.8275,1.28
,,04,1.2140,1.92
,,05,1.2275,1.87
,,06,0.9298,1.84
,,07,1.1808,1.89
,,10,1.1877,1.89
,,11,1.0680,1.88
,,12,0.9984,1.91
,,13,0.5523,1.26
,,14,0.3909,1.13
,,17,0.3072,1.19
,,18,0.2644,1.08
,,19,0.4248,1.13
,,20,0.5738,1.38
,,21,0.6979,1.37
,,24,0.7706,1.36
,,25,0.7800,1.46
,,26,0.7354,1.44
,,27,0.5795,1.35
,,28,0.7337,1.28
,,31,0.9860,1.68
,Aug,01,0.8904,1.54
,,02,0.9353,1.55
,,03,0.6009,1.21
,,04,0.6899,1.29
,,07,0.4968,1.23
,,08,0.4332,1.17
,,10,0.3925,1.11
,,11,0.4601,1.05
,,14,0.6628,1.26
,,15,0.7048,1.31
,,16,0.7716,1.41
,,17,0.6699,1.31
,,18,0.8218,1.44
,,21,0.8527,1.45
,,22,0.9036,1.47
,,23,0.9766,1.61
,,24,1.0179,1.72
,,25,1.2455,1.84
,,28,1.1370,1.90
,,29,0.5851,1.34
,,30,0.2874,0.91
,,31,0.5189,1.16
,Sep,04,0.8749,1.45
,,05,0.8973,1.66
,,06,0.7411,1.42
,,07,0.5901,1.25
,,08,0.7084,1.22
,,11,0.8189,1.52
,,12,0.7175,1.34
,,13,0.4524,1.13
,,14,0.3192,0.95
,,15,0.2772,0.90
,,18,0.5204,1.08
,,19,0.5091,1.16
,,20,0.6871,1.21
,,21,0.6471,1.35
,,22,0.7077,1.44
,,25,0.5900,1.28
,,26,0.5617,1.44
,,27,0.6652,1.41
,,28,0.5562,1.30
,,29,0.5979,1.48
,Oct,02,0.5872,1.23
,,03,0.5746,1.20
,,04,0.3605,1.11
,,05,0.4652,1.01
,,06,0.6093,1.35
,,09,0.6312,1.45
,,10,0.5824,1.27
,,11,0.6725,1.27
,,12,0.6971,1.34
,,13,0.6888,1.41
,,16,0.6978,1.39
,,17,0.6918,1.42
,,19,1.0110,1.30
,,20,1.3715,1.91
,,23,1.4066,2.10
,,24,1.2133,2.00
,,25,1.3334,1.96
,,26,1.1275,1.90
,,27,1.1225,1.86
,,30,1.1744,1.94
,,31,1.0968,1.93
,Nov,01,1.0400,1.90
,,02,0.7605,1.65
,,03,0.8203,1.62
,,06,0.7117,1.53
,,07,0.7264,1.53
,,08,0.8014,1.47
,,09,0.8199,1.59
,,10,1.0026,1.66
,,13,0.6976,1.47
,,14,0.6693,1.41
,,15,0.5585,1.25
,,16,0.5430,1.23
,,17,0.5547,1.30
,,20,0.4900,1.19
,,21,0.2509,1.07
,,22,0.1709,0.85
,,23,0.3673,1.06
,,24,0.5353,1.20
,,27,0.6674,1.27
,,28,0.7853,1.81
,,29,1.1968,1.93
,,30,1.2592,1.98
,Dec,01,1.2101,2.03
,,04,0.9920,1.85
,,05,0.8293,1.72
,,06,0.7437,1.69
,,07,0.7247,1.65
,,08,0.7820,1.65
,,11,0.8323,1.88
,,12,0.9218,1.86
,,13,0.8442,1.82
,,14,0.7550,1.53
,,15,0.7399,1.62
,,18,0.8309,1.73
,,19,0.9375,1.79
,,20,0.9310,1.92
,,21,1.0005,1.84
,,22,1.2709,2.14
,,26,1.1960,2.23
,,27,0.9589,1.94
,,28,0.7590,1.54
,,29,0.8605,2.15


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2018,Jan,02,0.7915,1.89
,,03,1.0355,2.16
,,04,0.6058,1.50
,,05,0.3425,1.14
,,08,0.0458,0.97
,,09,0.0560,0.83
,,10,0.1294,0.77
,,11,0.0660,0.76
,,12,0.4538,1.06
,,15,0.1639,0.74
,,16,0.0973,0.75
,,17,0.1380,0.73
,,18,0.0868,0.72
,,19,0.6715,1.17
,,22,0.6374,1.31
,,23,0.1786,0.91
,,24,0.1183,0.77
,,25,0.0602,0.69
,,26,0.1977,0.72
,,29,0.2863,0.86
,,30,0.6653,1.14
,,31,0.8294,1.47
,Feb,01,0.7742,1.44
,,02,0.9899,1.80
,,05,0.5491,1.46
,,06,0.6143,1.28
,,07,0.6509,1.26
,,08,0.8123,1.45
,,09,1.3314,2.03
,,12,1.3910,2.04
,,13,1.1126,1.88
,,14,0.6005,1.26
,,15,0.5852,1.29
,,19,0.7581,1.34
,,20,0.9160,1.58
,,21,1.1141,1.71
,,22,1.2325,1.84
,,23,1.5934,2.15
,,26,1.6497,2.31
,,27,1.5178,2.20
,,28,0.5943,1.31
,Mar,01,0.3726,1.13
,,02,0.5802,1.22
,,05,0.8453,1.41
,,06,0.7439,1.43
,,07,0.9541,1.53
,,08,0.8161,1.61
,,09,0.8321,1.55
,,12,0.7758,1.41
,,13,0.5956,1.17
,,14,0.5853,1.12
,,15,0.5777,1.04
,,16,0.2856,0.98
,,19,0.5764,1.23
,,20,0.6710,1.21
,,21,0.9127,1.64
,,22,0.7604,1.50
,,23,0.7599,1.62
,,26,0.6705,1.44
,,27,0.7152,1.55
,,28,0.5858,1.36
,,29,0.7834,1.53
,Apr,02,0.6773,1.48
,,03,0.5953,1.41
,,04,0.4255,1.29
,,05,0.1524,0.96
,,06,0.1727,0.87
,,09,0.1867,0.90
,,10,0.2671,0.89
,,11,0.2775,0.91
,,12,0.2905,0.94
,,13,0.3699,1.14
,,16,0.3521,1.00
,,17,0.3924,1.00
,,18,0.4361,1.11
,,19,1.0692,1.66
,,20,1.3329,1.99
,,23,1.1291,1.69
,,24,0.8744,1.65
,,25,0.8638,1.41
,,26,0.9956,1.49
,,27,1.7560,2.50
,,30,1.4725,2.10
,May,02,1.1115,1.76
,,03,1.0984,1.75
,,04,1.1747,1.83
,,07,1.3977,1.87
,,08,1.5624,2.23
,,09,1.5366,2.37
,,10,0.9983,1.58
,,11,0.8759,1.41
,,14,0.9905,1.67
,,15,0.7019,1.36
,,16,0.6264,1.31
,,17,0.4188,1.18
,,18,0.4564,1.07
,,21,0.6761,1.19
,,22,0.6852,1.30
,,23,1.2815,1.77
,,24,1.0365,1.48
,,25,1.4118,2.07
,,28,1.5135,2.09
,,30,1.5544,2.17
,,31,1.1205,1.63
,Jun,01,0.9958,1.77
,,04,1.4310,2.08
,,05,1.5185,2.27
,,06,1.4606,2.24
,,07,1.0974,1.74
,,08,1.1256,1.90
,,11,1.0994,1.83
,,12,0.7890,1.45
,,13,0.5849,1.38
,,14,0.7504,1.49
,,18,0.5232,1.32
,,19,0.4036,1.05
,,20,0.4929,1.16
,,21,0.5651,1.18
,,22,0.4658,1.22
,,25,0.6866,1.35
,,26,0.9323,1.49
,,27,0.8223,1.55
,,28,0.8296,1.62
,,29,1.3426,1.69
,Jul,02,0.9918,1.59
,,03,0.9160,1.63
,,04,0.8344,1.62
,,05,0.8786,1.65
,,06,1.4412,2.13
,,09,1.4302,2.08
,,10,1.4064,2.05
,,11,1.3745,2.05
,,12,1.2384,1.90
,,13,1.1951,1.89
,,16,1.1635,1.81
,,17,0.7706,1.49
,,18,0.8579,1.47
,,19,0.9735,1.49
,,20,1.0492,1.59
,,23,1.4072,1.85
,,24,1.4046,2.19
,,25,0.9908,1.62
,,26,1.1911,1.70
,,27,1.4968,2.03
,,30,1.5623,2.37
,,31,1.7311,2.26
,Aug,01,1.8083,2.26
,,02,1.6714,2.19
,,03,1.8187,2.47
,,06,1.8285,2.38
,,07,1.4463,2.19
,,08,1.3192,2.08
,,10,1.4192,2.09
,,13,1.7705,2.32
,,14,1.4315,2.10
,,15,1.6876,2.22
,,16,1.0175,1.68
,,17,0.8028,1.65
,,20,0.7479,1.52
,,21,1.2240,1.76
,,23,1.1864,1.72
,,24,1.5460,2.21
,,27,1.5029,2.23
,,28,1.3932,2.11
,,29,1.3580,2.02
,,30,1.1073,1.78
,,31,1.0628,1.91
,Sep,03,0.9531,1.71
,,04,1.0603,1.79
,,05,0.6039,1.28
,,06,0.6800,1.36
,,07,0.7885,1.50
,,10,0.6444,1.47
,,11,0.6249,1.31
,,12,0.8635,1.56
,,13,0.8372,1.57
,,14,1.0121,1.68
,,17,1.2431,1.81
,,18,1.2587,1.80
,,19,1.3053,2.05
,,20,1.3883,2.06
,,21,1.4172,2.12
,,24,1.1161,1.81
,,25,1.2211,1.96
,,26,1.0801,1.83
,,27,1.0110,1.90
,,28,1.1084,1.77
,Oct,01,1.1854,1.78
,,02,1.0854,1.84
,,03,1.1103,1.79
,,04,1.2730,1.98
,,05,1.2754,2.08
,,08,1.0762,1.85
,,09,1.1576,1.87
,,10,1.0035,1.68
,,11,1.1007,1.73
,,12,1.1695,1.90
,,15,1.1025,1.80
,,16,0.9410,1.72
,,17,1.0147,1.81
,,18,1.1154,1.83
,,19,1.3026,1.95
,,22,1.2159,1.86
,,23,1.2068,1.88
,,24,1.3389,1.89
,,25,1.3532,1.93
,,26,1.2862,1.97
,,29,1.3056,1.92
,,30,1.3336,2.05
,,31,1.4498,2.20
,Nov,01,1.5274,2.24
,,02,1.5642,2.21
,,05,1.3473,2.15
,,07,1.2537,2.03
,,08,1.2862,1.96
,,09,1.2630,1.95
,,12,1.2342,1.93
,,13,1.2595,1.97
,,14,1.1703,1.92
,,15,1.4816,2.01
,,16,1.8768,2.63
,,19,1.9294,2.46
,,20,1.5162,2.29
,,21,1.7144,2.32
,,22,1.5247,2.29
,,23,1.5637,2.34
,,26,1.4620,2.05
,,27,1.3705,2.00
,,28,1.3427,1.97
,,29,1.8059,2.52
,,30,1.9655,2.55
,Dec,03,1.8987,2.48
,,04,1.6113,2.37
,,05,1.2463,1.86
,,06,0.4604,1.02
,,07,1.1288,1.63
,,10,1.1137,1.79
,,11,1.3151,1.84
,,12,1.6167,2.35
,,13,1.5868,2.32
,,14,1.5526,2.14
,,17,1.4564,2.13
,,18,1.5719,2.30
,,19,1.9044,2.53
,,20,2.0203,2.61
,,21,2.0633,2.77
,,24,1.9447,2.64
,,26,2.1772,2.77
,,27,1.7089,2.40
,,28,1.8460,2.48
,,31,1.7645,1.91


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2019,Jan,02,1.2781,1.94
,,03,0.9545,1.68
,,04,1.2640,2.09
,,07,1.1470,1.95
,,08,1.1236,1.86
,,09,1.1964,1.82
,,10,1.0776,1.80
,,11,1.1299,1.79
,,14,1.1263,1.82
,,15,1.0919,1.82
,,16,1.3666,2.00
,,17,1.5422,2.26
,,18,1.6371,2.32
,,21,1.4506,2.22
,,22,1.7363,2.41
,,23,1.8543,2.59
,,24,1.9116,2.67
,,25,1.7582,2.47
,,28,1.8305,2.40
,,29,1.8900,2.55
,,30,1.9188,2.57
,,31,1.8978,2.65
,Feb,01,1.6472,2.41
,,04,1.7538,2.30
,,07,1.6384,2.37
,,08,1.8156,2.45
,,11,1.7735,2.44
,,12,1.7882,2.52
,,13,1.7162,2.43
,,14,1.6528,2.41
,,15,1.5548,2.41
,,18,1.5580,2.36
,,19,1.7053,2.38
,,20,1.5467,2.27
,,21,1.5324,2.19
,,22,1.7070,2.29
,,25,1.6459,2.30
,,26,1.5746,2.27
,,27,1.4256,2.24
,,28,1.6556,2.31
,Mar,01,1.8033,2.44
,,04,1.4282,2.24
,,05,1.3116,2.08
,,06,1.2044,2.00
,,07,1.2488,1.92
,,08,1.0990,1.88
,,11,1.1414,1.75
,,12,1.0192,1.68
,,13,1.0662,1.75
,,14,1.0579,1.75
,,15,1.2407,1.91
,,18,1.2236,1.92
,,19,1.4223,2.12
,,20,1.5833,2.30
,,21,1.6409,2.28
,,22,1.6422,2.22
,,25,1.5807,2.27
,,26,1.6774,2.30
,,27,1.8564,2.53
,,28,1.8534,2.52
,,29,2.2358,2.92
,Apr,01,1.5456,2.30
,,02,1.5339,2.14
,,03,1.4935,2.12
,,04,1.4388,2.06
,,05,1.7328,2.34
,,08,1.7870,2.51
,,09,1.7875,2.53
,,10,1.7077,2.36
,,11,1.6421,2.31
,,12,1.6636,2.29
,,15,1.6009,2.28
,,16,1.6481,2.29
,,17,1.6017,2.28
,,18,1.7528,2.31
,,22,1.7772,2.42
,,23,1.7087,2.35
,,24,1.6940,2.37
,,25,1.7660,2.35
,,26,1.6678,2.36
,,29,1.8593,2.38
,,30,2.0791,2.65
,May,02,1.9441,2.55
,,03,1.9643,2.54
,,06,1.9961,2.56
,,07,2.1542,2.89
,,08,1.9900,2.58
,,09,1.7012,2.37
,,10,1.7954,2.41
,,13,1.6964,2.41
,,14,1.8553,2.52
,,15,1.7315,2.46
,,16,1.8167,2.46
,,17,2.0390,2.67
,,21,1.6950,2.38
,,22,1.7432,2.34
,,23,1.4486,2.19
,,24,1.7018,2.35
,,27,1.6730,2.36
,,28,1.8282,2.44
,,29,1.9140,2.55
,,30,1.5849,2.22
,,31,1.8757,2.50
,Jun,03,1.7860,2.35
,,04,1.6102,2.14
,,06,1.3635,2.09
,,07,1.9579,2.31
,,10,1.9555,2.58
,,11,2.1023,2.77
,,12,1.8346,2.45
,,13,1.1671,1.93
,,14,1.2907,1.90
,,17,1.2541,1.91
,,18,1.3965,1.87
,,19,1.2413,1.79
,,20,1.2634,1.82
,,21,1.5855,2.11
,,24,1.5577,2.18
,,25,1.4176,1.93
,,26,1.3439,1.89
,,27,1.4207,1.86
,,28,1.6730,3.06
,Jul,01,1.5492,2.11
,,02,1.5807,2.32
,,03,1.5546,2.26
,,04,1.3368,2.19
,,05,1.5244,2.12
,,08,1.4361,2.05
,,09,1.4389,2.12
,,10,1.4191,2.10
,,11,1.2798,2.08
,,12,1.3533,2.13
,,15,1.3730,2.10
,,16,1.3579,2.13
,,17,1.4758,2.07
,,18,1.5818,2.09
,,19,1.7574,2.35
,,22,1.7604,2.46
,,23,1.6938,2.43
,,24,1.6323,2.17
,,25,1.5729,2.09
,,26,1.6436,2.16
,,29,1.7231,2.19
,,30,1.9407,2.53
,,31,1.9413,2.64
,Aug,01,1.6926,2.28
,,02,1.7049,2.32
,,05,1.7662,2.38
,,06,1.8936,2.51
,,07,1.6249,2.38
,,08,1.8084,2.40
,,13,1.6639,2.30
,,14,1.6949,2.28
,,15,1.5082,2.19
,,16,1.6281,2.33
,,19,1.4024,2.17
,,20,1.2771,2.00
,,21,1.3259,1.99
,,22,1.2491,1.88
,,23,1.2860,2.02
,,26,1.3413,1.96
,,27,1.4376,2.00
,,28,1.6368,2.08
,,29,1.9107,2.50
,,30,1.7441,2.42
,Sep,02,1.4403,2.15
,,03,1.5036,2.24
,,04,1.5110,2.23
,,05,1.5743,2.14
,,06,1.6121,2.24
,,09,1.7302,2.36
,,10,1.6328,2.41
,,11,1.6192,2.35
,,12,1.4631,2.12
,,13,1.4859,2.10
,,16,1.5503,2.14
,,17,1.4199,2.01
,,18,1.1938,1.85
,,19,0.7490,1.41
,,20,0.6849,1.24
,,23,0.7375,1.22
,,24,1.2017,1.74
,,25,1.5154,2.10
,,26,1.5821,2.25
,,27,1.5874,2.27
,,30,1.7204,2.62
,Oct,01,1.4092,2.05
,,02,1.4611,2.01
,,03,1.3062,1.93
,,04,1.1102,1.90
,,07,1.1170,1.82
,,08,0.9774,1.53
,,09,1.0600,1.62
,,10,1.1568,1.82
,,11,1.2871,1.95
,,14,1.0672,1.87
,,15,1.0975,1.89
,,16,1.2266,1.75
,,17,1.2593,1.98
,,18,1.2586,1.95
,,21,1.3364,1.94
,,22,1.4067,1.96
,,23,1.5925,2.13
,,24,1.4978,2.11
,,25,1.7417,2.29
,,29,1.7300,2.25
,,30,1.6836,2.31
,,31,1.6432,2.25
,Nov,01,1.3380,1.96
,,04,1.0749,1.64
,,05,0.8751,1.48
,,06,0.7925,1.43
,,07,0.5491,1.22
,,08,0.7595,1.40
,,11,0.6814,1.39
,,12,0.9573,1.56
,,13,0.9095,1.46
,,14,0.9153,1.49
,,15,1.1029,1.66
,,18,1.0440,1.59
,,19,1.0882,1.60
,,20,1.3661,1.90
,,21,1.5404,2.09
,,22,1.5447,2.07
,,25,1.5496,2.08
,,26,1.5313,2.15
,,27,1.4054,2.10
,,28,1.4213,2.01
,,29,1.6264,2.24
,Dec,02,1.5192,2.08
,,03,1.2475,1.86
,,04,1.1507,1.74
,,05,1.2829,1.66
,,06,1.3218,1.73
,,09,1.3690,1.95
,,10,1.3442,1.97
,,11,1.2755,1.83
,,12,1.0079,1.49
,,13,1.1518,1.75
,,16,0.6668,1.40
,,17,0.4863,1.20
,,18,0.2698,1.02
,,19,0.9469,0.97
,,20,1.4292,2.08
,,23,1.9062,2.66
,,24,1.9185,2.54
,,26,1.3502,2.13
,,27,1.1994,1.76
,,30,1.0252,1.66
,,31,1.3562,1.91


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2020,Jan,02,1.6813,2.37
,,03,1.2271,1.92
,,06,0.9619,1.55
,,07,1.0309,1.70
,,08,1.0006,1.81
,,09,1.0299,1.54
,,10,1.1810,1.71
,,13,1.0595,1.66
,,14,0.8209,1.44
,,15,0.8514,1.40
,,16,0.9215,1.47
,,17,1.1806,1.93
,,20,0.7793,1.47
,,21,1.0474,1.70
,,22,1.0442,1.58
,,23,1.0101,1.62
,,24,1.2578,1.96
,,28,1.1813,1.76
,,29,1.0807,1.71
,,30,1.3564,1.94
,,31,1.6492,2.23
,Feb,03,1.4710,2.22
,,04,1.1359,1.72
,,05,1.1134,1.68
,,06,0.9655,1.65
,,07,0.7943,1.55
,,10,0.9541,1.56
,,11,0.8330,1.32
,,12,0.7835,1.32
,,13,0.9036,1.36
,,14,1.0650,1.70
,,17,0.9734,1.47
,,18,1.1336,1.64
,,19,1.0811,1.52
,,20,0.6284,1.26
,,21,0.7445,1.28
,,24,0.9250,1.53
,,25,0.9665,1.51
,,26,0.9239,1.58
,,27,0.9498,1.58
,,28,1.2581,1.91
,Mar,02,0.8472,1.50
,,03,0.6216,1.38
,,04,0.5175,1.38
,,05,0.5118,1.24
,,06,0.6843,1.30
,,09,0.7093,1.47
,,10,0.6182,1.17
,,11,0.3967,1.09
,,12,0.5165,1.02
,,13,0.5155,1.01
,,16,0.3803,0.95
,,17,0.5800,1.09
,,18,0.5029,1.14
,,19,0.4505,1.11
,,20,0.5115,1.07
,,23,0.3313,0.93
,,24,0.2191,0.81
,,25,0.2272,0.75
,,26,0.2559,0.75
,,27,0.1636,0.72
,,30,0.2091,0.74
,,31,0.2670,0.90
,Apr,01,0.2545,0.86
,,02,0.2404,0.84
,,03,0.2481,0.81
,,06,0.2391,0.78
,,07,0.4194,0.84
,,08,0.6002,1.21
,,09,0.6151,1.10
,,13,0.3271,0.84
,,14,0.3969,0.88
,,15,0.4392,0.89
,,16,0.3678,0.85
,,17,0.1952,0.70
,,20,0.1123,0.66
,,21,0.0550,0.61
,,22,0.0723,0.60
,,23,0.0704,0.59
,,24,0.0805,0.63
,,27,0.1393,0.63
,,28,0.1175,0.63
,,29,0.1516,0.63
,,30,0.0879,0.62
,May,04,0.0849,0.61
,,05,0.0708,0.61
,,06,0.0387,0.57
,,08,0.0388,0.56
,,11,0.0458,0.56
,,12,0.0500,0.56
,,13,0.0269,0.55
,,14,0.0207,0.54
,,15,0.0235,0.54
,,18,0.0152,0.53
,,19,0.0135,0.52
,,20,0.0150,0.52
,,21,0.0518,0.53
,,22,0.0429,0.55
,,26,0.0883,0.54
,,27,0.0838,0.59
,,28,0.0897,0.61
,,29,0.1246,0.63
,Jun,01,0.0545,0.61
,,02,0.0371,0.58
,,03,0.0286,0.57
,,04,0.0377,0.57
,,05,0.0369,0.58
,,08,0.0472,0.58
,,09,0.0378,0.57
,,10,0.0708,0.57
,,11,0.1004,0.59
,,12,0.1215,0.63
,,15,0.1139,0.62
,,16,0.1057,0.63
,,17,0.0650,0.62
,,18,0.0884,0.62
,,19,0.1049,0.61
,,22,0.1386,0.63
,,23,0.1507,0.66
,,24,0.0979,0.68
,,25,0.1942,0.69
,,26,0.1701,0.72
,,29,0.1538,0.83
,,30,0.1647,1.10
,Jul,01,0.1006,0.74
,,02,0.0668,0.72
,,03,0.0962,0.72
,,06,0.0461,0.67
,,07,0.0158,0.63
,,08,0.0178,0.62
,,09,0.0093,0.63
,,13,0.0165,0.64
,,14,0.0244,0.66
,,15,0.0178,0.67
,,16,0.0243,0.65
,,17,0.0205,0.72
,,20,0.0214,0.70
,,21,0.0290,0.71
,,22,0.0446,0.73
,,23,0.2409,0.74
,,24,0.2719,0.82
,,27,0.2654,0.78
,,28,0.2681,0.83
,,29,0.1112,0.76
,,30,0.1015,0.74
,Aug,03,0.1313,0.71
,,04,0.0920,0.73
,,05,0.0362,0.72
,,06,0.0480,0.70
,,07,0.1567,0.69
,,11,0.0836,0.68
,,12,0.0857,0.65
,,13,0.0806,0.63
,,14,0.1091,0.63
,,17,0.1038,0.62
,,18,0.1335,0.64
,,19,0.1317,0.64
,,20,0.0672,0.60
,,21,0.0552,0.58
,,24,0.0608,0.57
,,25,0.0503,0.59
,,26,0.0410,0.60
,,27,0.0959,0.61
,,28,0.1919,0.69
,,31,0.2128,0.67
,Sep,01,0.1274,0.65
,,02,0.0850,0.64
,,03,0.0660,0.61
,,04,0.0760,0.62
,,07,0.0506,0.60
,,08,0.0401,0.60
,,09,0.0759,0.60
,,10,0.0836,0.60
,,11,0.1588,0.62
,,14,0.0814,0.61
,,15,0.0477,0.60
,,16,0.0581,0.59
,,17,0.0298,0.58
,,18,0.1386,0.62
,,21,0.1586,0.64
,,22,0.0551,0.64
,,23,0.1391,0.66
,,24,0.1323,0.68
,,25,0.1206,0.70
,,28,0.1522,0.69
,,29,0.0737,0.67
,,30,0.0786,0.69
,Oct,01,0.0472,0.61
,,02,0.0769,0.62
,,05,0.1439,0.62
,,06,0.1596,0.69
,,07,0.2015,0.68
,,08,0.0608,0.62
,,09,0.2147,0.72
,,12,0.1456,0.70
,,13,0.0985,0.68
,,14,0.1177,0.69
,,15,0.1689,0.71
,,16,0.1113,0.68
,,19,0.0837,0.66
,,20,0.1073,0.66
,,21,0.0555,0.64
,,22,0.1126,0.66
,,23,0.1214,0.67
,,26,0.1026,0.68
,,27,0.1207,0.69
,,28,0.1286,0.69
,,29,0.1247,0.66
,,30,0.3057,0.74
,Nov,02,0.1450,0.71
,,03,0.0948,0.68
,,04,0.0723,0.65
,,05,0.0484,0.62
,,06,0.0749,0.62
,,09,0.0993,0.63
,,10,0.0653,0.62
,,11,0.0902,0.62
,,12,0.0802,0.61
,,13,0.0915,0.65
,,16,0.1487,0.62
,,17,0.0970,0.63
,,18,0.0702,0.63
,,19,0.1071,0.64
,,20,0.0924,0.63
,,23,0.0708,0.65
,,24,0.1215,0.64
,,25,0.1104,0.67
,,26,0.1219,0.66
,,27,0.1870,0.72
,,30,0.1849,0.75
,Dec,01,0.1787,0.73
,,02,0.1773,0.77
,,03,0.1413,0.76
,,04,0.0685,0.75
,,07,0.1030,0.74
,,08,0.1078,0.74
,,09,0.0808,0.75
,,10,0.1015,0.79
,,11,0.0811,0.80
,,14,0.0945,0.77
,,15,0.0789,0.80
,,16,0.1219,0.81
,,17,0.1234,0.80
,,18,0.1382,0.77
,,21,0.1307,0.80
,,22,0.1513,0.77
,,23,0.1564,0.88
,,24,0.2342,0.95
,,28,0.1170,0.91
,,29,0.2152,0.92
,,30,0.3080,1.13
,,31,0.9380,1.76


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2021,Jan,04,0.0901,0.86
,,05,0.1198,0.80
,,06,0.1296,0.78
,,07,0.1772,0.81
,,08,0.1950,0.78
,,11,0.2180,0.77
,,12,0.1366,0.78
,,13,0.1166,0.76
,,14,0.0954,0.75
,,15,0.1011,0.74
,,18,0.1652,0.76
,,19,0.1444,0.75
,,20,0.0991,0.74
,,21,0.1174,0.73
,,22,0.1422,0.74
,,25,0.1151,0.73
,,26,0.1375,0.72
,,27,0.1084,0.69
,,28,0.2762,0.72
,,29,0.2370,0.86
,Feb,01,0.2074,0.86
,,02,0.1499,0.75
,,03,0.0794,0.71
,,04,0.0742,0.73
,,05,0.0953,0.71
,,08,0.1133,0.72
,,09,0.1684,0.73
,,10,0.1984,0.76
,,11,0.3526,0.95
,,15,0.1975,0.79
,,16,0.1493,0.79
,,17,0.1093,0.75
,,18,0.0952,0.74
,,19,0.2915,0.76
,,22,0.2423,0.77
,,23,0.1800,0.77
,,24,0.1738,0.77
,,25,0.2477,0.77
,,26,0.2626,0.80
,Mar,01,0.1225,0.75
,,02,0.0673,0.70
,,03,0.0402,0.70
,,04,0.0881,0.69
,,05,0.1602,0.76
,,08,0.1800,0.77
,,09,0.1924,0.77
,,10,0.1407,0.78
,,11,0.3155,0.78
,,12,0.3893,0.98
,,15,0.3427,0.89
,,16,0.2377,0.83
,,17,0.2138,0.84
,,18,0.2602,0.86
,,19,0.1901,0.84
,,22,0.1392,0.78
,,23,0.2282,0.76
,,24,0.2232,0.79
,,25,0.2672,0.82
,,26,0.3997,0.91
,,29,0.2246,0.83
,,30,0.1754,0.81
,,31,0.2315,0.81
,Apr,01,0.0946,0.76
,,05,0.1315,0.75
,,06,0.0873,0.74
,,07,0.0507,0.71
,,08,0.0507,0.67
,,09,0.0635,0.66
,,12,0.0412,0.67
,,13,0.0679,0.68
,,14,0.0910,0.70
,,15,0.0610,0.67
,,16,0.1517,0.66
,,19,0.0657,0.72
,,20,0.1447,0.71
,,21,0.1091,0.70
,,22,0.1791,0.71
,,23,0.1937,0.75
,,26,0.0839,0.72
,,27,0.1885,0.71
,,28,0.1760,0.70
,,29,0.1850,0.70
,,30,0.2504,0.78
,May,03,0.1984,0.78
,,04,0.1561,0.76
,,05,0.1897,0.75
,,06,0.0815,0.72
,,07,0.2114,0.73
,,10,0.1767,0.74
,,11,0.1049,0.72
,,12,0.1544,0.73
,,14,0.1784,0.74
,,17,0.1715,0.74
,,18,0.1064,0.71
,,19,0.0635,0.71
,,20,0.0720,0.71
,,21,0.0670,0.70
,,24,0.1014,0.71
,,25,0.0841,0.67
,,27,0.1136,0.69
,,28,0.2438,0.68
,,31,0.1514,0.70
,Jun,01,0.1783,0.71
,,02,0.1617,0.71
,,03,0.0999,0.69
,,04,0.0772,0.71
,,07,0.0772,0.71
,,08,0.1203,0.70
,,09,0.0623,0.68
,,10,0.0619,0.66
